公司,SAKNR,TXT50,货币,DMBTR_DEBIT,DMBTR_CREDIT,前一期间的余额,DMBTR_DEBIT_1,DMBTR_CREDIT_1,累计余额
4390,1002010201,银行存款-人民币-农业银行-基本户,CNY,526577.28,0.0,"1,242,309,103.99",1242203152.22,632529.05,
4390,1002010211,银行存款-人民币-农业银行-一般户2,CNY,0.0,0.0,"424,454,247.96",424454247.96,0.0,
4390,1002010212,银行存款-人民币-农业银行-一般户3,CNY,1847089.44,0.0,"635,251,995.72",636230697.16,868388.0,
4390,1002010510,银行存款-人民币-工商银行-一般户1,CNY,133.56,0.0,500.01,633.57,0.0,
4390,1002010612,银行存款-人民币-中信实业银行-一般户3,CNY,892.23,0.0,"7,825,035.23",7819323.17,6604.29,
4390,1002010811,银行存款-人民币-兴业银行-一般户2,CNY,10509204.33,0.0,"1,313.63",10510401.0,116.96,
4390,1002011011,银行存款-人民币-招商银行-一般户2,CNY,2359.73,0.0,"30,000.34",30037.36,2322.71,
4390,1002013012,银行存款-人民币-成都银行-一般户3,CNY,1948.34,0.0,0.23,400.0,1548.57,
4390,1002013020,银行存款-人民币-成都银行-专用户1,CNY,608751.57,0.0,76.09,0.0,608827.66,
4390,1002013810,银行存款-人民币-平安银行-一般户1,CNY,355.79,0.0,0.04,200.0,155.83,
4390,1002013910,银行存款-人民币-国家开发银行-一般户1,CNY,1433.26,0.0,"11,064,915.82",11064900.0,1449.08,
4390,1002015110,银行存款-人民币-四川银行-一般户1,CNY,9685.61,0.0,"3,469,533.33",3479000.0,218.94,
4390,1012990100,其他货币资金-在途资金-供应链金融,CNY,0.0,0.0,"1,600,191.95",1600191.95,0.0,
4390,1101010000,交易性金融资产-成本,CNY,405988.25,0.0,0.00,0.0,405988.25,
4390,1101020000,交易性金融资产-公允价值变动,CNY,395423.5,0.0,"110,175.25",175073.0,330525.75,
4390,1122010000,应收账款-应收货款,CNY,54711840.46,0.0,"2,156,863,136.48",2095475126.73,116099850.21,
4390,1122020000,应收账款-客户保证金,CNY,-528384.2,0.0,"525,558.20",563441.0,-566267.0,
4390,1123000000,预付账款,CNY,-147233.19,0.0,"12,749,466.49",2558462.74,10043770.56,
4390,1221000000,其他应收款-其他,CNY,-107542.64,0.0,"743,807.62",60.0,636204.98,
4390,1221010000,其他应收款-瓶箱押金,CNY,-11509660.49,0.0,"2,485,381.30",1191297.0,-10215576.19,
4390,1221020000,内部往来-资产,CNY,12865.38,0.0,0.00,0.0,12865.38,
4390,1221030000,其他应收款-陈列柜押金,CNY,-6124481.01,0.0,"476,079.22",1023768.42,-6672170.21,
4390,1221040000,其他应收款-保证金,CNY,-4247143.17,0.0,"2,442,112.71",3607992.1,-5413022.56,
4390,1231010000,坏账准备-应收账款,CNY,-11756835.02,0.0,"104,984.88",155834.25,-11807684.39,
4390,1231020000,坏账准备-其他应收账款,CNY,-1096267.75,0.0,"123,651.43",207527.74,-1180144.06,
4390,1403010000,原材料-原辅料,CNY,7227867.76,0.0,"249,659,757.24",248914854.32,7972770.68,
4390,1403020000,原材料-备品备件,CNY,2766770.19,0.0,"10,286,566.39",10214708.67,2838627.91,
4390,1403999998,原材料差异-物料账,CNY,13598261.92,0.0,"2,752,510.15",972058.0,15378714.07,
4390,1403999999,原材料差异,CNY,-13598261.92,0.0,"25,409,649.16",27190101.31,-15378714.07,
4390,1405010000,库存商品-产成品,CNY,7333604.27,0.0,"420,273,626.80",421211747.08,6395483.99,
